lab_id,latitude,longitude,nuclide_id,salinity,sampdepth,samplabcode,station,temperatur,begperiod,uncertaint,unit_id,activity,samptype_id
345,74.30983,-143.0685,28,34.7118,369.40747,842.0,CB19,0.4271,2021-09-08 07:56:49,6.1175604e+07,9,1.9822781e+09,1
345,74.30983,-143.0685,28,33.618935,249.70312,845.0,CB19,-1.1857,2021-09-08 07:56:49,1.2741093e+07,9,3.932813e+08,1
345,74.30983,-143.0685,28,32.359276,145.83057,849.0,CB19,-1.2593,2021-09-08 07:56:49,4.3455065e+06,9,8.104169e+07,1
345,74.30983,-143.0685,28,30.989622,72.84175,852.0,CB19,0.44,2021-09-08 07:56:49,6.733304e+06,9,1.8136334e+08,1
345,74.30983,-143.0685,28,26.801325,21.0754,853.0,CB19,-1.3013,2021-09-08 07:56:49,6.6878975e+06,9,1.8152694e+08,1
345,72.3485,-134.01784,28,34.951538,2053.6602,926.0,CB31b,-0.3892,2021-09-10 17:19:31,8.34787e+06,9,2.4069605e+08,1
345,72.3485,-134.01784,28,34.911858,1501.9165,927.0,CB31b,-0.3122,2021-09-10 17:19:31,1.6047923e+07,9,5.02186e+08,1
345,72.3485,-134.01784,28,34.87736,1001.80066,928.0,CB31b,0.0023,2021-09-10 17:19:31,1.5971517e+07,9,4.961227e+08,1
345,72.3485,-134.01784,28,34.86576,802.16425,929.1,CB31b,0.2364,2021-09-10 17:19:31,2.3231014e+07,9,7.3357165e+08,1
345,72.3485,-134.01784,28,34.848175,602.5446,930.0,CB31b,0.5164,2021-09-10 17:19:31,2.9272232e+07,9,9.308782e+08,1
345,72.3485,-134.01784,28,34.601204,294.26462,935.0,CB31b,0.1399,2021-09-10 17:19:31,7.440104e+07,9,2.417192e+09,1
345,72.3485,-134.01784,28,33.66925,211.28221,938.0,CB31b,-1.0677,2021-09-10 17:19:31,8.597195e+06,9,2.5187376e+08,1
345,72.3485,-134.01784,28,32.356472,125.14646,942.0,CB31b,-1.2687,2021-09-10 17:19:31,4.433463e+06,9,8.395779e+07,1
345,72.3485,-134.01784,28,30.784124,56.21765,945.0,CB31b,0.7481,2021-09-10 17:19:31,6.568459e+06,9,1.757371e+08,1
345,72.3485,-134.01784,28,26.401276,4.868495,948.0,CB31b,-1.3284,2021-09-10 17:19:31,6.4850265e+06,9,1.7481734e+08,1
345,72.90483,-135.98433,28,26.397741,4.865383,949.0,CB23a,-1.3278,2021-09-11 02:19:11,3.3691945e+06,9,2.3412035e+06,1
345,72.90483,-135.98433,28,34.93806,2001.9305,952.0,CB23a,-0.3912,2021-09-11 02:19:11,9.494057e+06,9,2.8125446e+08,1
345,72.90483,-135.98433,28,34.906277,1502.4934,953.0,CB23a,-0.2708,2021-09-11 02:19:11,2.1785268e+07,9,6.913711e+08,1
345,72.90483,-135.98433,28,34.872757,1002.2647,954.0,CB23a,0.0572,2021-09-11 02:19:11,2.4324412e+07,9,7.6883034e+08,1
345,72.90483,-135.98433,28,34.860752,802.0658,955.0,CB23a,0.3066,2021-09-11 02:19:11,2.6832348e+07,9,8.5049434e+08,1
345,72.90483,-135.98433,28,34.845257,602.076,956.0,CB23a,0.5894,2021-09-11 02:19:11,2.7408652e+07,9,8.691932e+08,1
345,72.90483,-135.98433,28,33.710815,246.12248,962.0,CB23a,-1.1274,2021-09-11 02:19:11,8.260895e+06,9,2.400239e+08,1
345,72.90483,-135.98433,28,32.315323,142.5118,966.0,CB23a,-1.2113,2021-09-11 02:19:11,4.349167e+06,9,8.1337704e+07,1
345,72.90483,-135.98433,28,30.785158,67.6576,969.0,CB23a,0.6962,2021-09-11 02:19:11,6.7606925e+06,9,1.8130632e+08,1
345,73.4525,-138.01633,28,26.048637,5.055262,973.0,CB22,-1.2145,2021-09-11 08:45:51,3.3741355e+06,9,3.1068645e+06,1
345,73.4525,-138.01633,28,34.93968,1999.2338,976.0,CB22,-0.4006,2021-09-11 08:45:51,9.153957e+06,9,2.697394e+08,1
345,73.4525,-138.01633,28,34.909676,1502.0524,977.1,CB22,-0.2929,2021-09-11 08:45:51,1.5001602e+07,9,4.6578694e+08,1
345,73.4525,-138.01633,28,34.87649,1001.66833,978.0,CB22,0.0308,2021-09-11 08:45:51,2.035243e+07,9,6.395861e+08,1
345,73.4525,-138.01633,28,34.86307,801.80963,979.0,CB22,0.2774,2021-09-11 08:45:51,2.4694944e+07,9,7.8149056e+08,1
345,73.4525,-138.01633,28,34.848537,601.9091,980.0,CB22,0.602,2021-09-11 08:45:51,3.699414e+07,9,1.1804435e+09,1
345,73.4525,-138.01633,28,34.607166,333.7715,984.0,CB22,0.1605,2021-09-11 08:45:51,7.45936e+07,9,2.4208033e+09,1
345,73.4525,-138.01633,28,32.34157,145.8397,991.0,CB22,-1.2309,2021-09-11 08:45:51,4.452514e+06,9,8.608106e+07,1
345,73.4525,-138.01633,28,26.978851,20.794258,996.1,CB22,-1.0803,2021-09-11 08:45:51,6.8047495e+06,9,1.8591427e+08,1
345,71.7775,-131.87866,28,34.867794,902.1619,1188.0,CB1,0.1574,2021-09-13 13:54:30,3.0590504e+07,9,9.714008e+08,1
345,71.7775,-131.87866,28,34.83119,501.6319,1192.0,CB1,0.6533,2021-09-13 13:54:30,3.6472268e+07,9,1.1742188e+09,1
345,71.7775,-131.87866,28,33.663296,198.27834,1200.0,CB1,-1.1703,2021-09-13 13:54:30,1.2015989e+07,9,3.6866285e+08,1
345,71.7775,-131.87866,28,32.630997,129.6777,1203.0,CB1,-1.3218,2021-09-13 13:54:30,5.3040955e+06,9,1.2742663e+08,1
345,71.7775,-131.87866,28,31.702974,70.87933,1206.0,CB1,-0.7205,2021-09-13 13:54:30,7.1246e+06,9,1.9802717e+08,1
345,71.7775,-131.87866,28,28.050358,15.573516,1209.0,CB1,-1.298,2021-09-13 13:54:30,6.660087e+06,9,1.8148317e+08,1
345,70.5395,-122.94517,28,27.6802,5.849896,47.0,AG5,3.2875,2022-09-18 05:10:22,1.0194927e+07,9,2.1445994e+08,1
345,70.5395,-122.94517,28,31.2421,32.150578,41.0,AG5,-1.049,2022-09-18 05:10:22,1.2254933e+07,9,2.5627861e+08,1
345,70.5395,-122.94517,28,32.8468,101.903755,37.0,AG5,-1.1744,2022-09-18 05:10:22,1.7124474e+07,9,3.6038624e+08,1
345,70.5395,-122.94517,28,33.2132,124.83264,36.0,AG5,-1.0952,2022-09-18 05:10:22,2.261573e+07,9,4.7823798e+08,1
345,70.5395,-122.94517,28,34.6833,303.65738,29.0,AG5,0.2942,2022-09-18 05:10:22,4.823094e+07,9,1.0186419e+09,1
345,70.5395,-122.94517,28,34.7131,352.5692,28.0,AG5,0.3477,2022-09-18 05:10:22,5.0176024e+07,9,1.0597952e+09,1
345,70.5395,-122.94517,28,34.7472,499.39294,26.0,AG5,0.4225,2022-09-18 05:10:22,4.866401e+07,9,1.0278046e+09,1
345,70.5395,-122.94517,28,34.7544,591.0342,25.0,AG5,0.4497,2022-09-18 05:10:22,5.1287156e+07,9,1.0901665e+09,1
345,71.52067,-151.58983,28,30.2406,6.2880335,719.0,BL4,-0.8615,2022-10-04 15:18:14,8.1335505e+06,9,1.7073062e+08,1
345,71.52067,-151.58983,28,30.2397,6.4760876,718.0,BL4,-0.8633,2022-10-04 15:18:14,8.516583e+06,9,1.7927427e+08,1
345,71.52067,-151.58983,28,31.431,36.372494,716.0,BL4,-0.5816,2022-10-04 15:18:14,6.945054e+06,9,1.4322955e+08,1
345,71.52067,-151.58983,28,33.1483,155.48808,710.0,BL4,-1.207,2022-10-04 15:18:14,1.4133245e+07,9,2.9987808e+08,1
345,71.52067,-151.58983,28,34.435,234.74097,707.0,BL4,-0.1863,2022-10-04 15:18:14,1.021876e+08,9,2.1893898e+09,1
345,71.52067,-151.58983,28,34.7062,303.6385,705.0,BL4,0.4056,2022-10-04 15:18:14,1.4003974e+08,9,3.0015782e+09,1
345,71.52067,-151.58983,28,34.7949,403.6361,702.0,BL4,0.708,2022-10-04 15:18:14,1.2584131e+08,9,2.6940232e+09,1
345,71.52067,-151.58983,28,34.8612,603.2054,700.0,BL4,0.7677,2022-10-04 15:18:14,1.150819e+08,9,2.4584942e+09,1
345,71.52067,-151.58983,28,34.87,803.6271,699.0,BL4,0.459,2022-10-04 15:18:14,1.04815304e+08,9,2.2429896e+09,1
345,71.52067,-151.58983,28,34.8914,1152.5762,698.0,BL4,-0.0727,2022-10-04 15:18:14,6.5889748e+07,9,1.4097307e+09,1
345,71.95417,-150.30017,28,29.4647,5.3911815,788.0,BL8,-0.3142,2022-10-05 05:23:02,8.430101e+06,9,1.773805e+08,1
345,71.95417,-150.30017,28,30.9158,35.754124,783.0,BL8,-0.0506,2022-10-05 05:23:02,7.330598e+06,9,1.5336258e+08,1
345,71.95417,-150.30017,28,31.8549,55.401527,782.0,BL8,-0.2421,2022-10-05 05:23:02,4.795919e+06,9,9.843857e+07,1
345,71.95417,-150.30017,28,33.207,150.53432,778.0,BL8,-1.1938,2022-10-05 05:23:02,1.2433027e+07,9,2.631615e+08,1
345,71.95417,-150.30017,28,34.4245,227.44409,775.0,BL8,-0.2152,2022-10-05 05:23:02,9.019763e+07,9,1.9321751e+09,1
345,71.95417,-150.30017,28,34.6985,287.38004,774.0,BL8,0.3532,2022-10-05 05:23:02,1.1220307e+08,9,2.403213e+09,1
345,71.95417,-150.30017,28,34.8485,467.44626,772.0,BL8,0.8241,2022-10-05 05:23:02,1.1144404e+08,9,2.3851052e+09,1
345,71.95417,-150.30017,28,34.8618,602.1114,770.0,BL8,0.6771,2022-10-05 05:23:02,9.5593016e+07,9,2.0460941e+09,1
345,71.95417,-150.30017,28,34.8707,801.6903,769.0,BL8,0.422,2022-10-05 05:23:02,9.3966376e+07,9,2.010876e+09,1
345,71.95417,-150.30017,28,34.8869,1002.7577,768.0,BL8,-0.011,2022-10-05 05:23:02,7.564737e+07,9,1.61662e+09,1
345,71.95417,-150.30017,28,34.9201,1501.4738,767.0,BL8,-0.3388,2022-10-05 05:23:02,2.785007e+07,9,5.931396e+08,1
345,71.95417,-150.30017,28,34.9441,2002.0543,766.0,BL8,-0.3997,2022-10-05 05:23:02,4.752285e+06,9,9.765577e+07,1
345,71.95417,-150.30017,28,34.9595,2962.544,765.0,BL8,-0.3213,2022-10-05 05:23:02,758928.9,9,5.497528e+06,1
345,78.30617,-153.21217,28,27.5739,5.803205,459.0,CB10,-1.4778,2022-09-29 07:18:31,9.380036e+06,9,1.9662478e+08,1
345,78.30617,-153.21217,28,31.2307,43.022903,455.0,CB10,-0.9264,2022-09-29 07:18:31,6.2351165e+06,9,1.2913522e+08,1
345,78.30617,-153.21217,28,31.8668,60.36603,453.0,CB10,-1.4003,2022-09-29 07:18:31,7.223355e+06,9,1.4969157e+08,1
345,78.30617,-153.21217,28,33.1653,152.31578,449.0,CB10,-1.4512,2022-09-29 07:18:31,2.2649726e+07,9,4.816648e+08,1
345,78.30617,-153.21217,28,34.4223,227.1655,446.0,CB10,-0.7144,2022-09-29 07:18:31,2.3748235e+08,9,5.092533e+09,1
345,78.30617,-153.21217,28,34.719,291.15692,444.0,CB10,0.4488,2022-09-29 07:18:31,2.5032354e+08,9,5.36023e+09,1
345,78.30617,-153.21217,28,34.8489,438.64542,443.0,CB10,0.9123,2022-09-29 07:18:31,1.1470852e+08,9,2.4553482e+09,1
345,78.30617,-153.21217,28,34.8721,603.0976,441.0,CB10,0.7515,2022-09-29 07:18:31,2.0169352e+08,9,4.3199186e+09,1
345,78.30617,-153.21217,28,34.8819,803.2659,440.0,CB10,0.3802,2022-09-29 07:18:31,1.5885029e+08,9,3.3971602e+09,1
345,78.30617,-153.21217,28,34.8886,1003.2225,439.0,CB10,0.1027,2022-09-29 07:18:31,1.4280792e+08,9,3.0574285e+09,1
345,78.30617,-153.21217,28,34.9125,1503.7498,438.0,CB10,-0.2933,2022-09-29 07:18:31,5.5023844e+07,9,1.1767716e+09,1
345,78.30617,-153.21217,28,34.9452,2003.2317,437.0,CB10,-0.3997,2022-09-29 07:18:31,6.3137155e+06,9,1.2700308e+08,1
345,78.30617,-153.21217,28,34.9554,2404.5703,436.0,CB10,-0.3731,2022-09-29 07:18:31,1.1759759e+06,9,1.6040843e+07,1
345,78.9975,-149.28984,28,26.638,6.4738913,435.0,CB11,-1.4046,2022-09-28 05:29:08,1.0600586e+07,9,2.2065187e+08,1
345,78.9975,-149.28984,28,31.1562,48.196518,430.0,CB11,0.4882,2022-09-28 05:29:08,7.31768e+06,9,1.5116232e+08,1
345,78.9975,-149.28984,28,31.8855,76.422935,429.0,CB11,-0.6234,2022-09-28 05:29:08,5.382625e+06,9,1.1025287e+08,1
345,78.9975,-149.28984,28,33.1394,179.15092,425.0,CB11,-1.4691,2022-09-28 05:29:08,1.8777588e+07,9,3.9539795e+08,1
345,78.9975,-149.28984,28,34.4213,258.4547,422.0,CB11,-0.4029,2022-09-28 05:29:08,2.14643e+08,9,4.5980616e+09,1
345,78.9975,-149.28984,28,34.7217,326.40707,421.0,CB11,0.4134,2022-09-28 05:29:08,1.7511869e+08,9,3.7525225e+09,1
345,78.9975,-149.28984,28,34.8584,507.774,419.0,CB11,0.8479,2022-09-28 05:29:08,9.19446e+07,9,1.967689e+09,1
345,78.9975,-149.28984,28,34.8622,603.7674,418.0,CB11,0.6372,2022-09-28 05:29:08,1.28367576e+08,9,2.746645e+09,1
345,78.9975,-149.28984,28,34.8733,803.7271,417.0,CB11,0.3077,2022-09-28 05:29:08,1.0927215e+08,9,2.3363154e+09,1
345,78.9975,-149.28984,28,34.8832,1003.9362,416.0,CB11,0.0545,2022-09-28 05:29:08,1.1887812e+08,9,2.5448233e+09,1
345,78.9975,-149.28984,28,34.912,1503.693,415.0,CB11,-0.2902,2022-09-28 05:29:08,3.2482768e+07,9,6.922653e+08,1
345,78.9975,-149.28984,28,34.9422,2003.6576,414.0,CB11,-0.4002,2022-09-28 05:29:08,4.1150408e+06,9,8.452335e+07,1
345,78.9975,-149.28984,28,34.9591,3718.1765,412.0,CB11,-0.2562,2022-09-28 05:29:08,734428.25,9,2.8192492e+06,1
345,77.00633,-140.04016,28,25.8748,5.7015777,315.0,CB15,-1.3927,2022-09-24 02:01:43,1.0111276e+07,9,2.1101786e+08,1
345,77.00633,-140.04016,28,31.1531,60.844883,310.0,CB15,0.3295,2022-09-24 02:01:43,7.078496e+06,9,1.4324522e+08,1
345,77.00633,-140.04016,28,31.8773,86.954,309.0,CB15,-0.5846,2022-09-24 02:01:43,5.0447945e+06,9,1.0284229e+08,1
345,77.00633,-140.04016,28,33.1184,202.01295,305.0,CB15,-1.4689,2022-09-24 02:01:43,1.6063411e+07,9,3.3433827e+08,1
345,77.00633,-140.04016,28,34.4319,275.96976,302.0,CB15,-0.3448,2022-09-24 02:01:43,1.8350312e+08,9,3.926147e+09,1
345,77.00633,-140.04016,28,34.721,341.9773,301.0,CB15,0.422,2022-09-24 02:01:43,1.3419541e+08,9,2.8569981e+09,1
345,77.00633,-140.04016,28,34.8448,494.94208,299.0,CB15,0.823,2022-09-24 02:01:43,9.678025e+07,9,2.0621658e+09,1
345,77.00633,-140.04016,28,34.859,602.13135,298.0,CB15,0.6296,2022-09-24 02:01:43,9.938864e+07,9,2.1232164e+09,1
345,77.00633,-140.04016,28,34.8711,802.16284,297.0,CB15,0.2837,2022-09-24 02:01:43,1.0381076e+08,9,2.2183662e+09,1
345,77.00633,-140.04016,28,34.8804,1002.9203,296.0,CB15,0.0208,2022-09-24 02:01:43,8.540578e+07,9,1.819234e+09,1
345,77.00633,-140.04016,28,34.9142,1502.8949,295.0,CB15,-0.2843,2022-09-24 02:01:43,1.4721496e+07,9,3.063042e+08,1
345,77.00633,-140.04016,28,34.9432,2002.3699,294.0,CB15,-0.4036,2022-09-24 02:01:43,1.6359479e+06,9,2.6617806e+07,1
345,77.00633,-140.04016,28,34.9589,3627.2786,292.0,CB15,-0.2655,2022-09-24 02:01:43,953991.2,9,8.766269e+06,1
345,78.001,-140.01633,28,26.3704,5.758745,339.0,CB16,-1.3592,2022-09-24 23:19:08,1.0980813e+07,9,2.2911882e+08,1
345,78.001,-140.01633,28,30.6287,47.06654,334.0,CB16,0.3873,2022-09-24 23:19:08,8.522433e+06,9,1.754388e+08,1
345,78.001,-140.01633,28,31.8451,77.02014,333.0,CB16,-0.6534,2022-09-24 23:19:08,5.4873235e+06,9,1.1224721e+08,1
345,78.001,-140.01633,28,33.1519,189.14714,329.0,CB16,-1.4336,2022-09-24 23:19:08,1.949775e+07,9,4.093872e+08,1
345,78.001,-140.01633,28,34.43,262.90808,326.0,CB16,-0.3636,2022-09-24 23:19:08,2.313792e+08,9,4.9598167e+09,1
345,78.001,-140.01633,28,34.714,326.64902,325.0,CB16,0.377,2022-09-24 23:19:08,1.6114619e+08,9,3.4229315e+09,1
345,78.001,-140.01633,28,34.8526,486.85312,323.0,CB16,0.8105,2022-09-24 23:19:08,1.1698591e+08,9,2.5020347e+09,1
345,78.001,-140.01633,28,34.8603,602.41876,322.0,CB16,0.5962,2022-09-24 23:19:08,1.00898584e+08,9,2.158917e+09,1
345,78.001,-140.01633,28,34.8718,802.70734,321.0,CB16,0.2653,2022-09-24 23:19:08,6.443119e+07,9,1.3760065e+09,1
345,78.001,-140.01633,28,34.8822,1002.9897,320.0,CB16,0.0107,2022-09-24 23:19:08,7.252958e+07,9,1.5488312e+09,1
345,78.001,-140.01633,28,34.9116,1468.9,319.0,CB16,-0.289,2022-09-24 23:19:08,3.04396e+07,9,6.4947526e+08,1
345,78.001,-140.01633,28,34.944,2003.128,318.0,CB16,-0.4046,2022-09-24 23:19:08,1.8026099e+06,9,2.9671978e+07,1
345,78.001,-140.01633,28,34.959,3653.0896,316.0,CB16,-0.2628,2022-09-24 23:19:08,705908.2,9,350022.2,1
345,75.988335,-140.00717,28,25.7945,5.7384343,243.0,CB17,-1.3624,2022-09-22 02:02:41,9.964174e+06,9,2.0715366e+08,1
345,75.988335,-140.00717,28,30.3419,41.95641,240.0,CB17,0.8756,2022-09-22 02:02:41,9.049462e+06,9,1.8923701e+08,1
345,75.988335,-140.00717,28,31.7998,84.07334,237.0,CB17,-0.4644,2022-09-22 02:02:41,5.5481755e+06,9,1.1062394e+08,1
345,75.988335,-140.00717,28,33.169,208.2852,233.0,CB17,-1.4235,2022-09-22 02:02:41,1.6484998e+07,9,3.4170787e+08,1
345,75.988335,-140.00717,28,34.4246,284.0444,230.0,CB17,-0.365,2022-09-22 02:02:41,2.0105384e+08,9,4.3068646e+09,1
345,75.988335,-140.00717,28,34.7094,347.03714,229.0,CB17,0.375,2022-09-22 02:02:41,1.3539285e+08,9,2.9002816e+09,1
345,75.988335,-140.00717,28,34.8492,508.33908,227.0,CB17,0.8199,2022-09-22 02:02:41,1.170948e+08,9,2.5002606e+09,1
345,75.988335,-140.00717,28,34.8571,602.6238,226.0,CB17,0.6428,2022-09-22 02:02:41,7.056381e+07,9,1.5085736e+09,1
